Report Level 3,BM000219,BM000220,BM000221,BM000222,BM000223,BM000224,BM000225,BM000226,BM000227,BM000228,BM000229,BM000230,BM000231,BM000232,BM000233,BM000234,BM000235,BM000236,BM000237,BM000238,BM000239,BM000240,BM000241,BM000242,BM000243
GABA,16.71837808574516,16.6848266104535,16.786684830324003,16.642076570851913,16.61278433762564,16.867253717509204,16.854926667799948,16.83075352585037,16.557489169320284,16.66236045442733,16.75872822967598,16.45357101896079,16.905833543526818,16.681813535531802,16.91372733426062,16.93375770695164,16.600722086085163,16.739585147211216,16.844854605755152,16.939289550113244,16.717057569672132,16.354310853951183,16.50460490237792,16.519687146747575,16.760606189127255
Serotonin,12.073134470262964,12.16292811663767,12.188608192773328,11.884445291995826,12.088033408444629,12.33380771474855,12.402808684075172,12.23363342663238,11.948561463962434,12.243640879255024,12.315250456787968,12.054441522311562,12.570882071788896,12.588210658217704,12.639465887543395,12.537676863935241,12.123083258081737,12.33564006895275,12.252747439054785,12.113189591372247,12.0077472430021,11.601719355505544,11.850508633725129,11.801208420905091,12.210974186646592
Tryptophan,17.67588608831122,17.63986022628339,17.63090565714289,17.61704711065299,17.624331568452373,17.926157671570255,17.782460430122967,17.779561692807167,17.56795097670193,17.632133941530167,17.714602274229104,17.381766361850698,17.80515335960218,17.591266356959878,17.828958324736217,17.747822947745057,17.43654290233534,17.772910590357295,17.73294827390631,17.893449980557847,17.650735789484578,17.31649449123113,17.471704776002746,17.47421001662095,17.60941422552373
Trimethylamine N-oxide (TMAO),15.826826512957975,15.049059785341846,15.591349362394507,15.717200068735519,14.859354729445952,16.080154224987957,15.904720225054826,15.892405494156415,15.86527631606949,15.936460581501096,16.103515260864096,15.409393588148207,15.985286947559723,15.726084284392035,15.766924053125337,15.65162410234193,15.404782673146405,16.14032473113362,15.76387032185723,15.588943258867957,15.846574359899673,15.357271919205349,15.66612245569389,15.746550272600544,15.214554769068231
Indole & Indole Derivatives,13.405641425662015,12.5265359173578,13.179511050271511,12.791810002183162,12.54305599389723,14.297126202349972,13.382299789009581,13.134695837712146,13.115737837025382,13.369256533387983,13.358465770249936,13.339183325988406,13.972668424622048,13.706610410349954,13.847839377134017,13.625330999239768,13.014459909125168,13.883766851527767,12.899698672759842,11.341907937058311,12.64595108430257,12.44952784476935,12.41257778531074,12.48413057685548,14.378861769187417
Cysteine Derivatives,17.5116611700437,17.178849357756146,17.550102418056053,17.409596435929135,16.885804457040088,17.580830090387174,17.74933433923992,17.666391956022274,17.489540144719037,17.555503690289388,17.66066763857533,17.235708102624574,17.733196441865395,17.506325465894886,17.74995748555378,17.623492364721553,17.36579222362713,17.667493584409744,17.69785685064412,17.673299150373175,17.59343697957218,17.163172065851953,17.448460108265184,17.423062681546334,17.43770006363415
Bile Acid Pool,15.69760209642812,16.071423395185924,16.26244862867466,15.996106898405113,16.253545230279933,16.28180300698505,15.923841613919462,16.063252342643107,15.233695314415153,15.57144676707779,15.761737426568033,15.549463869637915,15.713472303978294,15.495676115114813,15.708962343976758,16.463604114579798,15.838074518092988,15.724582330481475,16.1777255176029,16.74219501026988,15.877453938361759,15.304186591739795,15.613247460130273,15.392686536152208,16.24981899453765
Imidazole Propionate,15.090171425015697,13.96470064825597,15.9367369966742,15.307456752362578,13.748352900177037,14.980306218932546,14.779306234273257,15.617902268779686,14.217951641197157,14.737925427802262,14.799948703609914,14.51367496178661,15.718481503224327,15.490405498721167,15.761978638172403,16.297610820436454,15.817187037712065,14.351817124586663,15.116189878703075,16.01969569085413,15.1096946444841,14.609325736382274,14.28924082635902,14.456403188671333,15.740456451097074
Oxidative stress,13.24041819522468,11.808528526223947,12.682330409368182,12.228313658845874,11.610402016389013,13.209592465065406,12.907556054263361,12.97243359390414,12.739104092965421,13.11706566434976,13.024687784008579,12.726280605214411,13.738499406640337,13.499233844850448,13.204388243550435,12.79467984889089,13.01720105876952,13.393256371748375,12.87430132313531,12.109249542424257,12.533247787431371,12.391875449221963,12.251247672497296,12.391559567341774,11.925471621608933
Branched Chain Amino Acids,17.154714655843094,17.11575029824476,17.08390496761003,17.070288445696498,17.128606997822192,17.458308024585385,17.245058050541513,17.301215969520314,17.040647574916346,17.12492373015729,17.207177846098528,16.84956551365776,17.33125946088215,17.1382114262579,17.25251468160449,17.21446948857193,16.942573227028003,17.238136716173162,17.20476570010511,17.279975295486324,17.123128827827387,16.770960810466267,16.90994053389697,16.893641163263382,16.878538524434507
