Report Level 3,BM000278,BM000279,BM000280,BM000281,BM000282,BM000283,BM000284,BM000285,BM000286,BM000287,BM000288
GABA,16.54284420089217,16.720738421767614,16.857459919596156,16.80422643116516,16.7457270521454,16.961989791101516,16.769861906421117,16.35420304330219,16.657061474558024,16.817346085837208,16.54069034932975
Serotonin,12.498843573330001,12.68759023446846,12.891096171163216,12.577216444483495,12.514826245694238,12.801853995064794,12.38850465091125,12.221402060195402,12.314634505201425,12.44113840231516,12.275626793283399
Tryptophan,17.47356893455938,17.669928105295103,17.77147708869649,17.51098093674012,17.594269338244477,17.661075273730223,17.607654924072165,17.310730016280324,17.487534141382508,17.632232711807482,17.445080033784528
Trimethylamine N-oxide (TMAO),15.664876118131614,15.813121809071095,16.146073002261737,15.516756343714006,15.716834194659956,15.636800755424812,15.648253926714743,15.306407080098234,15.286163536667688,15.528350324805555,15.575390928080605
Indole & Indole Derivatives,14.146820823052087,13.950330800107583,14.331599280589328,13.6645617267041,13.788362508310033,14.454938621632857,12.920051331910337,13.759466919668215,13.370660165329467,13.314179607046436,13.422235629191615
Cysteine Derivatives,17.47266791622536,17.667273043232967,17.776395324682408,17.627358452873754,17.524485259183216,17.769579192983485,17.634334680850248,17.296610350778607,17.43416289582786,17.67991979607242,17.31832851134944
Bile Acid Pool,14.992848518878692,15.75140192173027,15.687735300780897,16.21570030217322,15.955485315765676,16.002300915574708,15.936191743251225,15.12074149318271,15.725937486754344,15.637565078888937,15.664439228811489
Imidazole Propionate,14.68130833730094,14.993248008070664,14.969967143209217,16.213733563653776,15.747411003214067,16.72397595833194,15.922701463636136,15.097781547613206,15.46756245834949,15.58302438019922,14.765716718914828
Oxidative stress,12.872251627645191,12.91681934457164,13.415557815585675,12.91893155129141,13.080332884514586,13.307694153241933,13.249434481839765,13.98323145007748,13.067229858022548,13.03689019637233,12.502152230123274
Branched Chain Amino Acids,16.960136514182707,17.17958766688007,17.29120110296472,17.010460977352178,17.15486790549336,17.267237342646652,17.0503196951174,16.90967619924786,16.909810560181462,17.047655798263783,16.964280280368683
Butyrate (SCFA),18.01389117658219,18.152175136006317,18.28891435374648,18.2345219757573,18.136737278304967,18.340664887400724,18.215951215652158,17.749926561743642,18.031087552682045,18.186196766941837,17.93305102774893
Lactate,19.064972127482896,19.29907160578414,19.47182722513467,19.203710482463006,19.297295638528585,19.44482806091473,19.221291339737277,19.15346916851998,19.169746727735227,19.199774273599676,19.123518771107584
Carbohydrates,18.349858620260044,18.567490844045174,18.704852458495374,18.684797471674845,18.646849819586226,18.948829641770164,18.673513886047562,18.54382294014912,18.549367211215444,18.658932840308573,18.394932846241897
Proteins,17.560315780482924,17.761888726003733,17.90087161055043,17.8096737664869,17.756125251683002,17.9757890355268,17.754782135476123,17.44439998796715,17.668598614971017,17.796425536957308,17.550234303944837
Fats,16.175098464447085,16.38003277583999,16.563916563839726,16.480741125030708,16.421276143657423,16.61195130619634,16.394104691201406,16.090896165488328,16.296486972078057,16.392167977957197,16.199636800321464
Vitamin B1,17.246820778457593,17.389699249654424,17.45248547824017,17.45255073485858,17.40120918532931,17.59162534923337,17.50492958401458,17.039205140712724,17.33199727838729,17.562525831362095,17.250490022371125
Vitamin B6,17.730378022060624,17.835797643641744,17.85934176120302,17.82991318476586,17.73796388728313,17.965436671628517,17.832058487925796,17.381623996580654,17.835977643205975,17.783066380561,17.764215890634468
Vitamin B7,16.757887621032204,16.992629604533658,17.028618542070905,17.305171598055374,17.07254498312408,17.330170485224247,17.206904399364866,16.583949893160604,17.03549349635555,17.32787717010632,16.698018189809684
Vitamin B9,18.665907406442184,18.751847697402848,18.97646641236547,18.859421027046164,18.861730497213195,19.116887112916338,18.884070553016084,18.51481603316616,18.74908776241008,18.99043534136131,18.618208530463686
Vitamin B12,16.68165321345396,16.901153240010117,17.072263468111046,17.03936601985147,16.81289301421835,17.078871939545895,16.926614973232425,16.37191894013156,16.7693480609183,16.925628291498786,16.637175931734006
