Report Level 3,BM000377,BM000378,BM000379,BM000380,BM000381,BM000382,BM000383,BM000384
GABA,16.659893581338462,16.83958836158739,16.646352691778542,16.687996250846716,16.71623133796417,16.54077363851104,16.970728873495485,16.90844292797503
Serotonin,12.04183112870329,12.139718282253547,12.236376405237088,12.170954026086621,12.341911994406614,11.906139108964659,12.322835777303588,12.75288784241738
Tryptophan,17.501718631074773,17.698160786044507,17.207918152971015,17.573850737705186,17.430685952250105,17.408667371780652,17.789717498548367,17.6979204195337
Trimethylamine N-oxide (TMAO),14.950181323626609,15.903397509096626,14.871281044660794,15.807466873505762,15.758901140833089,15.447736734774754,15.812886493015688,15.49248445032781
Indole & Indole Derivatives,10.664491729181941,12.460376540780379,12.636583840270784,12.323341919298613,13.352924834125426,12.13535337743044,12.71731227652437,13.66845623277028
Cysteine Derivatives,17.305492059302797,17.651295456213948,17.365836520801693,17.625972961054195,17.49094251479136,17.378081833335415,17.87612945801192,17.74770665755692
Bile Acid Pool,16.60121960542236,16.09636452546066,16.452232149544106,15.613758679131085,15.297989514393002,15.88608890055105,16.312391091924777,15.833376614271758
Imidazole Propionate,15.917250542779254,15.67634995068905,16.17408446449206,15.155938712633558,16.188760877915406,15.462026749025814,16.10919321436615,15.491885656787815
Oxidative stress,12.453602456868186,13.52737437166496,13.36549361527764,12.8067248130076,13.409051876223616,12.335812744558414,13.09209530802097,12.737393823650937
Branched Chain Amino Acids,16.919443594997333,17.163194045129714,16.687735027445616,17.068919771061555,16.94297844540771,16.799688764134807,17.220262053527264,17.168370708822266
Butyrate (SCFA),18.03365569026459,18.226655170815693,17.91945499183064,18.103687418525883,18.124738811255355,17.98859533038677,18.375641267129907,18.27797726214149
Lactate,19.288663393792007,19.49828066394189,18.96461504935608,19.243496740571317,19.262770785775448,19.050512586853035,19.457507886487658,19.376524914688993
Carbohydrates,18.608649179546596,18.75588939558334,18.639593365560938,18.533682705486328,18.626006547964533,18.416144806087846,18.885197283996128,18.77048088569956
Proteins,17.631801921682097,17.814947852143376,17.58364788845876,17.665792109712005,17.66705086356653,17.505985588200947,17.928181340600926,17.906755773402335
Fats,16.28471278759907,16.396790203204503,16.33273453783966,16.243019987720167,16.247135858739714,16.115482040800256,16.584757863727177,16.57815077530647
Vitamin B1,17.290736154054365,17.459263047279908,17.21092414994559,17.30268671119844,17.358746765629743,17.220858561924683,17.691502091235915,17.500257731644954
Vitamin B6,17.698634034452958,17.924794631567583,17.644126000644597,17.683469668858685,17.674435861707636,17.625520290247465,18.01329933500957,17.9374987102607
Vitamin B7,17.142431677034715,17.174666805262294,17.15236478732879,17.027486952601567,16.96327162815127,16.92851571507827,17.4744922104703,17.270784626307925
Vitamin B9,18.79277990316417,18.946150804663702,18.66354720245312,18.808621092596017,18.82696245296942,18.659014108340795,19.081134248773264,18.976500014019994
Vitamin B12,16.68932675497098,17.01552155502483,16.08903085753012,16.93817574693611,16.852835015910507,16.615373677266867,16.92958967372715,16.939099415713127
