Report Level 3,BM000948,BM000949,BM000950,BM000951,BM000952,BM000953,BM000954,BM000955,BM000956,BM000957,BM000958
GABA,16.921997358056274,16.80964869704961,16.710863761611474,16.693309951601716,16.633966114489684,16.67883398731683,16.644666307458795,16.276833747410027,16.564189216557615,16.552083361021417,16.65817730649951
Serotonin,12.466011413711236,13.412328521852354,13.171029048354416,12.088043945989291,12.28696065503758,12.016080490088124,12.03273346119858,11.256666845443018,12.271744331846682,11.810454832764218,12.282005346417128
Tryptophan,17.65410913146324,17.533174638968063,17.524231619809424,17.585430251450674,17.628684180538723,17.605888767143114,17.593834783965423,17.325484190826643,17.301978674423907,17.451737395029564,17.66010489292823
Trimethylamine N-oxide (TMAO),15.757790007994249,15.338146163380099,15.182338870035894,15.889477345176235,15.185123981870225,15.736981091783601,15.629403012817669,15.5467250827551,15.700864487676313,15.569508240056859,16.007500595456257
Indole & Indole Derivatives,12.81047724598129,14.498293881421738,14.419245893335715,11.913749608371923,11.75244755259756,11.973424727857576,12.897851126965438,10.433700184566035,12.506949682973056,12.07494756752587,13.473049945404952
Cysteine Derivatives,17.704762418110942,17.706840813131365,17.425000958515476,17.70268845027074,17.520183010371188,17.58996496116211,17.38536477103607,17.13726497472394,17.275817363608382,17.204748451882963,17.507455384907733
Bile Acid Pool,16.33221465326384,15.62431955183584,15.7163227261276,15.701184607569356,16.000451872115544,15.730267124500205,15.97357416970327,15.000346895453152,15.405277108394799,15.574698769284684,15.674054856818739
Imidazole Propionate,16.07131291068244,15.831260886977265,15.697482551383292,15.189183409920458,13.94532617365396,14.541384641478519,14.561927122258805,12.34363916574933,13.508946874461191,14.909018315972766,14.158526585703182
Oxidative stress,13.452419725572064,13.079686440365645,12.996428770143226,12.529855100836551,10.964261437950988,11.956583071493293,12.687328285446114,11.876386484199884,14.511453708242078,13.592417325232379,13.093761409745671
Branched Chain Amino Acids,17.191453020998782,17.055791767608408,16.986199550818856,17.03351627833249,17.075888568085805,17.023415604796135,17.096403270758945,16.759220692675143,16.933237052761925,16.94773376076952,17.249212946674238
Butyrate (SCFA),18.345100786950404,18.294421464939848,18.118257256334065,18.180426927308492,17.80520947354861,18.096210334952694,18.012989201964817,17.708938181688385,17.814939306805112,17.824691986414038,18.12645720019342
Lactate,19.38430504431912,19.159031767166447,19.123273099199945,19.318542581545483,19.24357643326215,19.303361308998557,19.329030317717077,18.994200533027712,19.001944937908714,19.2287714900676,19.3726650525982
Carbohydrates,18.83126532192049,18.618482014967178,18.547284976584812,18.54519671287159,18.387501622339474,18.531364457115764,18.507064875082435,18.140799980038768,18.492444267260584,18.57660935229101,18.551364435453863
Proteins,17.888140720873466,17.925769442550674,17.797607692897643,17.672778287242892,17.67359901553884,17.632893864102673,17.61715231628354,17.22820281568805,17.46398268676899,17.535303677780053,17.645583756570634
Fats,16.59919098585047,16.70047386009279,16.59984528980327,16.220098517642956,16.17669993431454,16.224650298210523,16.281545209884477,15.740822317113578,16.091277905284013,16.053804426825007,16.35736884350231
Vitamin B1,17.59564957272019,17.323686052043364,17.267510679739267,17.3546518333488,17.156298859859277,17.369426932856612,17.269437613499832,17.04218751657268,16.9211536166589,17.188805727191884,17.335028222244137
Vitamin B6,18.049176502495836,17.70517529730042,17.683435434642686,17.781189564995035,18.0972097995171,17.750608107621012,17.941338683788423,17.582746102810216,17.58118172927015,17.723350207086927,17.66486993927817
Vitamin B7,17.377106866856163,17.18412182525347,17.101559279220226,17.038611177372644,16.177491503535155,17.0701077232066,16.790702164688927,16.29545510407511,16.882355250564718,16.789925340551683,16.93681565419213
Vitamin B9,18.99959741555092,18.782570223721223,18.799401690262165,18.79449497734077,18.622118916074225,18.822401836135196,18.819109225507507,18.460768120341406,18.61804667728927,18.743006600149826,18.794548609281968
Vitamin B12,17.057186651801153,16.611198300585922,16.72446128454787,16.859943300037454,16.38217858988793,16.793579956734412,16.698135462518703,16.37990673724243,16.352508354760925,16.887609231232574,17.037377071681185
