Report Level 3,BM001941,BM001942,BM001943,BM001944,BM001945,BM001946,BM001947,BM001948
GABA,16.527726419972367,16.976097876129213,16.94732663041466,16.828495086080924,16.56155852804781,16.59201551519227,16.668776372347317,17.05359806228794
Serotonin,11.460479650922409,12.170230508608858,12.139723429563235,11.951709227454183,11.845081765365574,11.90005117558324,11.971405205220762,12.29127469511828
Tryptophan,17.561474499273377,17.78275181106171,17.771472786566257,17.64928550161297,17.565101863354695,17.515850880991305,17.65927077311121,17.847075770048953
Trimethylamine N-oxide (TMAO),15.620662866039956,15.417101904676667,15.532846562732836,15.68388337944137,15.971711711883371,15.664861122216756,15.73652560371355,15.515075791930437
Indole & Indole Derivatives,11.618518569137569,10.270890972295215,11.80010717031652,10.408817987587387,11.522306892871388,11.961493104829563,13.083070394980329,9.448198919796527
Cysteine Derivatives,17.36520153868842,17.62921374669064,17.701504642909743,17.637549923742146,17.485868528925057,17.459795784646854,17.511979184187307,17.762857563814876
Bile Acid Pool,15.421076814104707,16.643275543165995,16.429751942679733,16.053801078092206,15.524223825552198,15.853755332907616,16.145125238964038,16.822609168209336
Imidazole Propionate,14.13888665469744,16.102374358911675,15.898864453104633,15.705471479016364,13.296954424029883,15.002404251316575,15.88488739475626,16.628318988336147
Oxidative stress,12.892132318724027,12.12435721713312,12.534530675064364,12.796781862154088,12.199277665916854,12.860293593469851,12.95859742740983,12.113929879971558
Branched Chain Amino Acids,16.97441675550463,17.14809440804193,17.213099313353766,17.081813227771086,17.046897940659136,16.95943026882929,17.14747501436823,17.243730919025
Butyrate (SCFA),17.934027124700005,18.33368495248626,18.31315843627516,18.270709360140508,18.087287976499216,17.977750670972224,18.064906668782182,18.44232069354274
Lactate,19.21191715305245,19.404487228938656,19.408641340589128,19.315712159303846,19.31902253331879,19.246156574944994,19.419658786123787,19.513968878115246
Carbohydrates,18.43102049817271,18.84764541130697,18.819306132383627,18.691161128986124,18.391902671366463,18.46430858082363,18.66664145383799,18.97836384565593
Proteins,17.47937217676221,17.90340267397603,17.876413497353106,17.775354156252305,17.542615375504855,17.566973351031102,17.603197574095795,17.993213345263708
Fats,15.99947595927733,16.47451854572569,16.495746293013923,16.331867568825174,16.040915613671817,16.126830281769198,16.184299102637336,16.595889967359177
Vitamin B1,17.31771169854146,17.75880211322577,17.66560025264774,17.473077881829884,17.11917242501126,17.20865669430846,17.38470240989894,17.798078925082038
Vitamin B6,17.82397879218326,17.947309041396114,17.945783656955747,17.889593127950736,17.66274863001103,17.718009747426837,17.622486504874047,17.990524309088258
Vitamin B7,16.79510515260386,17.640260698664292,17.47843354176682,17.33434070926055,16.688037509583186,16.80444929882072,17.025459972957183,17.692522721924384
Vitamin B9,18.67899793152057,19.098977838877868,19.076370387699022,18.938961958453557,18.629298521388648,18.72307085967127,18.805808882950686,19.14023598969992
Vitamin B12,16.871860280244746,17.190683223309694,17.14607504239065,17.087322627899614,16.708837333786963,16.666429336408463,17.018596061329454,17.275683521499587
